Sample Name,% Dups,% GC,M Seqs,,,
1005_S100_Schizophrenia_S56_L001_R2_001_fastq_gz,73.5%,52%,16.2,,,
1005_S101_MajorDepression_S37_L001_R2_001_fastq_gz,61.4%,50%,13.9,,,
1005_S103_BipolarDisorder_S28_L001_R2_001_fastq_gz,60.5%,47%,18.7,,,
1005_S104_MajorDepression_S38_L001_R2_001_fastq_gz,63.5%,49%,15.8,,,
1005_S116_Schizophrenia_S57_L001_R2_001_fastq_gz,85.1%,48%,18.9,,,
1005_S118_Schizophrenia_S58_L001_R2_001_fastq_gz,61.8%,49%,16.8,,,
1005_S120_Schizophrenia_S59_L001_R2_001_fastq_gz,77.9%,49%,16.0,,,
1005_S123_Control_S5_L001_R2_001_fastq_gz,62.5%,48%,13.3,,,
1005_S124_Control_S6_L001_R2_001_fastq_gz,67.8%,50%,13.1,,,
1005_S126_Control_S7_L001_R2_001_fastq_gz,70.5%,48%,13.8,,,
1005_S128_BipolarDisorder_S29_L001_R2_001_fastq_gz,65.0%,48%,17.5,,,
1005_S135_MajorDepression_S39_L001_R2_001_fastq_gz,86.1%,58%,6.5,,,
1005_S136_Control_S8_L001_R2_001_fastq_gz,64.2%,48%,15.9,,,
1005_S138_MajorDepression_S40_L001_R2_001_fastq_gz,59.8%,52%,15.5,,,
1005_S13_Schizophrenia_S46_L001_R2_001_fastq_gz,81.1%,49%,13.1,,,
1005_S141_Control_S9_L001_R2_001_fastq_gz,58.8%,49%,17.7,,,
1005_S147_BipolarDisorder_S30_L001_R2_001_fastq_gz,72.4%,48%,14.1,,,
1005_S149_Control_S10_L001_R2_001_fastq_gz,64.5%,48%,18.5,,,
1005_S156_MajorDepression_S41_L001_R2_001_fastq_gz,68.9%,56%,9.0,,,
1005_S158_Control_S11_L001_R2_001_fastq_gz,76.0%,47%,12.4,,,
1005_S162_Control_S12_L001_R2_001_fastq_gz,57.7%,49%,16.7,,,
1005_S163_MajorDepression_S42_L001_R2_001_fastq_gz,93.2%,49%,10.7,,,
1005_S165_Control_S13_L001_R2_001_fastq_gz,68.2%,48%,17.2,,,
1005_S168_MajorDepression_S43_L001_R2_001_fastq_gz,63.2%,48%,18.9,,,
1005_S16_MajorDepression_S31_L001_R2_001_fastq_gz,73.5%,48%,12.4,,,
1005_S171_MajorDepression_S44_L001_R2_001_fastq_gz,65.0%,49%,15.5,,,
1005_S172_MajorDepression_S45_L001_R2_001_fastq_gz,65.4%,50%,18.6,,,
1005_S173_Schizophrenia_S60_L001_R2_001_fastq_gz,81.5%,47%,19.8,,,
1005_S174_Control_S14_L001_R2_001_fastq_gz,62.2%,47%,14.1,,,
1005_S179_Control_S15_L001_R2_001_fastq_gz,71.0%,47%,11.7,,,
1005_S18_Schizophrenia_S47_L001_R2_001_fastq_gz,77.3%,48%,16.1,,,
1005_S30_Schizophrenia_S54_L001_R2_001_fastq_gz,69.9%,49%,13.3,,,
1005_S33_BipolarDisorder_S16_L001_R2_001_fastq_gz,56.1%,50%,22.0,,,
1005_S34_BipolarDisorder_S17_L001_R2_001_fastq_gz,93.1%,46%,8.9,,,
1005_S38_MajorDepression_S32_L001_R2_001_fastq_gz,73.2%,50%,11.8,,,
1005_S41_Schizophrenia_S49_L001_R2_001_fastq_gz,67.9%,50%,16.4,,,
1005_S43_Schizophrenia_S50_L001_R2_001_fastq_gz,63.2%,49%,18.2,,,
1005_S46_MajorDepression_S33_L001_R2_001_fastq_gz,81.9%,66%,8.0,,,
1005_S47_BipolarDisorder_S18_L001_R2_001_fastq_gz,67.7%,48%,15.7,,,
1005_S48_BipolarDisorder_S19_L001_R2_001_fastq_gz,82.5%,48%,14.7,,,
1005_S49_Control_S1_L001_R2_001_fastq_gz,68.4%,50%,18.2,,,
1005_S59_MajorDepression_S34_L001_R2_001_fastq_gz,60.7%,50%,18.6,,,
1005_S60_BipolarDisorder_S20_L001_R2_001_fastq_gz,75.4%,47%,17.5,,,
1005_S64_Schizophrenia_S51_L001_R2_001_fastq_gz,61.1%,50%,15.6,,,
1005_S66_Schizophrenia_S52_L001_R2_001_fastq_gz,61.4%,50%,16.5,,,
1005_S68_BipolarDisorder_S21_L001_R2_001_fastq_gz,82.3%,46%,16.4,,,
1005_S70_Control_S2_L001_R2_001_fastq_gz,66.1%,49%,21.3,,,
1005_S72_BipolarDisorder_S22_L001_R2_001_fastq_gz,71.7%,47%,11.6,,,
1005_S73_Control_S3_L001_R2_001_fastq_gz,69.1%,48%,20.1,,,
1005_S75_BipolarDisorder_S23_L001_R2_001_fastq_gz,69.6%,48%,16.0,,,
1005_S81_Schizophrenia_S53_L001_R2_001_fastq_gz,80.0%,49%,13.9,,,
1005_S82_Schizophrenia_S48_L001_R2_001_fastq_gz,89.5%,54%,1.8,,,
1005_S83_BipolarDisorder_S24_L001_R2_001_fastq_gz,67.5%,54%,10.9,,,
1005_S85_Control_S4_L001_R2_001_fastq_gz,60.7%,48%,16.6,,,
1005_S88_BipolarDisorder_S25_L001_R2_001_fastq_gz,66.1%,48%,13.3,,,
1005_S89_BipolarDisorder_S26_L001_R2_001_fastq_gz,75.9%,49%,17.2,,,
1005_S91_BipolarDisorder_S27_L001_R2_001_fastq_gz,71.8%,47%,17.7,,,
1005_S92_MajorDepression_S35_L001_R2_001_fastq_gz,63.5%,50%,15.0,,,
1005_S93_Schizophrenia_S55_L001_R2_001_fastq_gz,73.4%,51%,12.2,,,
1005_S99_MajorDepression_S36_L001_R2_001_fastq_gz,89.5%,47%,13.7,,,
